,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
115,Vernon Maxwell,SG,28,HOU,23,880,10.4,.471,.439,.172,1.7,8.3,5.2,17.6,1.2,0.2,12.7,20.5,,-0.2,0.5,0.3,.017,,-2.0,-1.2,-3.2,-0.3
116,Derrick McKey,SF,27,IND,16,587,11.5,.476,.169,.331,6.9,13.1,10.1,19.2,2.4,1.2,19.7,15.8,,0.1,1.0,1.1,.091,,-0.1,1.8,1.7,0.5
117,Nate McMillan,PG,29,SEA,5,109,7.4,.392,.440,.160,6.1,10.6,8.3,15.6,3.0,0.7,15.7,13.5,,-0.1,0.2,0.1,.040,,-3.2,1.2,-2.1,0.0
118,Darnell Mee,SG,22,DEN,3,30,8.2,.583,.667,.000,0.0,7.5,3.8,11.9,5.5,0.0,33.3,13.9,,0.0,0.0,0.0,.010,,-3.3,4.9,1.6,0.0
119,Oliver Miller,C,23,PHO,10,146,14.3,.582,.000,.259,10.0,24.5,16.8,12.5,2.1,5.7,30.2,12.7,,0.0,0.1,0.2,.062,,-1.9,2.6,0.7,0.1
120,Reggie Miller*,SG,28,IND,16,576,21.9,.581,.307,.415,2.4,7.5,5.0,16.5,2.0,0.5,9.1,28.0,,2.1,0.7,2.8,.236,,6.8,0.7,7.5,1.4
121,Chris Mills,SF,24,CLE,3,112,23.0,.595,.132,.289,10.4,15.9,12.9,14.1,3.6,0.6,10.5,20.1,,0.4,0.0,0.4,.174,,5.1,2.1,7.2,0.2
122,Harold Miner,SG,22,MIA,4,57,18.6,.519,.000,.423,5.7,9.9,7.8,7.5,0.9,0.0,6.1,25.6,,0.1,0.0,0.2,.128,,3.2,-1.4,1.8,0.1
123,Sam Mitchell,PF,30,IND,15,99,4.2,.378,.038,.154,6.4,14.1,10.4,8.4,1.1,1.6,12.6,14.7,,-0.1,0.2,0.1,.033,,-6.5,-0.2,-6.7,-0.1
124,Chris Morris,SF,28,NJN,4,98,13.0,.390,.465,.233,12.4,12.3,12.3,17.0,2.7,3.6,11.2,24.7,,-0.1,0.2,0.1,.036,,1.1,1.2,2.3,0.1
125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Chris Mullin*,SF,30,GSW,3,135,20.0,.681,.235,.216,3.6,8.5,6.2,10.8,0.0,2.1,11.1,19.3,,0.5,-0.3,0.2,.088,,4.5,-2.2,2.3,0.1
127,Tracy Murray,SF,22,POR,2,11,25.8,.500,.167,.000,28.6,0.0,15.4,15.6,4.6,0.0,0.0,23.0,,0.1,0.0,0.1,.222,,6.2,1.5,7.7,0.0
128,Dikembe Mutombo*,C,27,DEN,12,511,17.8,.526,.000,.907,9.3,22.8,16.3,7.3,0.9,9.3,16.6,16.4,,0.4,0.9,1.3,.121,,-0.1,3.9,3.8,0.7
129,Pete Myers,SG,30,CHI,10,235,12.1,.536,.071,.375,5.4,4.6,5.0,19.8,1.9,1.3,20.7,16.8,,0.1,0.1,0.3,.055,,-0.5,0.2,-0.3,0.1
130,Johnny Newman,SF,30,NJN,4,54,3.1,.373,.308,.538,4.1,6.1,5.1,7.6,2.0,2.6,15.7,16.0,,-0.1,0.1,0.0,-0.027,,-5.7,0.5,-5.2,0.0
131,Shaquille O'Neal*,C,21,ORL,3,126,20.1,.517,.000,.756,15.9,22.5,19.1,11.3,0.9,5.1,14.3,24.5,,0.2,0.1,0.3,.103,,2.4,-0.2,2.2,0.1
132,Charles Oakley,PF,30,NYK,25,992,15.9,.536,.000,.389,13.6,21.8,17.6,10.9,1.9,0.4,17.5,17.4,,1.2,1.9,3.1,.149,,1.0,1.3,2.3,1.1
133,Hakeem Olajuwon*,C,31,HOU,23,989,27.7,.568,.008,.313,6.8,21.2,14.5,20.4,2.2,6.5,12.4,31.4,,2.3,2.0,4.3,.208,,4.2,4.3,8.5,2.6
134,Billy Owens,PF,24,GSW,3,127,17.7,.534,.020,.240,11.6,16.3,14.1,13.1,1.5,0.9,11.2,20.3,,0.3,-0.2,0.1,.054,,1.4,-1.5,-0.1,0.1
