,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
10,Kenny Anderson,PG,25,NJN,31,28,1042,4.9,13.1,.376,1.2,3.4,.364,3.7,9.7,.381,5.2,6.5,.803,1.3,2.2,3.5,8.5,1.8,0.3,2.0,2.5,16.3
11,Kenny Anderson,PG,25,CHH,38,36,1302,5.7,12.6,.454,1.5,4.3,.357,4.1,8.2,.505,3.0,4.1,.727,0.7,2.1,2.8,9.1,1.6,0.2,2.4,2.9,16.0
12,Nick Anderson,SG,28,ORL,77,77,2717,5.3,12.0,.442,2.2,5.7,.391,3.1,6.3,.489,2.2,3.2,.692,1.2,4.3,5.5,3.7,1.6,0.6,1.9,1.8,15.0
13,Willie Anderson,SG,29,TOT,76,44,2060,5.0,11.5,.436,0.6,2.1,.283,4.4,9.4,.470,2.3,2.8,.810,0.8,3.5,4.3,3.4,1.3,1.0,2.5,4.0,13.0
14,Willie Anderson,SG,29,TOR,49,42,1564,5.3,12.1,.440,0.7,2.2,.305,4.7,9.9,.470,2.6,3.0,.856,0.8,3.5,4.3,3.4,1.3,1.2,2.7,3.9,13.9
15,Willie Anderson,SG,29,NYK,27,2,496,4.1,9.7,.421,0.4,1.8,.200,3.7,7.8,.472,1.4,2.3,.613,0.9,3.4,4.4,3.5,1.2,0.6,1.7,4.3,9.9
16,Greg Anthony,PG,28,VAN,69,68,2096,5.6,13.4,.415,1.5,4.7,.332,4.0,8.8,.459,3.9,5.1,.771,0.5,2.5,3.0,8.2,2.0,0.2,2.7,2.4,16.6
17,B.J. Armstrong,PG,28,GSW,82,64,2262,5.4,11.6,.468,1.6,3.3,.473,3.9,8.3,.465,3.7,4.4,.839,0.4,2.6,2.9,6.4,1.1,0.1,2.0,2.3,16.1
18,Darrell Armstrong,PG,27,ORL,13,0,41,14.0,28.1,.500,5.3,10.5,.500,8.8,17.6,.500,3.5,3.5,1.000,0.0,1.8,1.8,4.4,5.3,0.0,5.3,3.5,36.9
19,Vincent Askew,SG,29,SEA,69,2,1725,4.5,9.1,.493,0.6,1.8,.337,3.9,7.3,.531,2.6,3.4,.764,1.4,3.2,4.5,3.4,1.0,0.3,2.0,3.7,12.1
20,Keith Askins,SF,28,MIA,75,14,1897,3.0,7.4,.402,1.9,4.5,.418,1.1,2.9,.377,0.9,1.1,.789,2.1,4.0,6.1,2.3,0.9,1.2,1.6,5.1,8.7
21,Stacey Augmon,SF,27,ATL,77,49,2294,5.7,11.6,.491,0.0,0.1,.250,5.7,11.5,.492,3.9,5.0,.792,2.1,2.6,4.8,2.1,1.7,0.5,2.2,3.0,15.3
