,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, .1,OBPM,DBPM,BPM,VORP,current_year
82,Rex Chapman,SG,26.0,WSB,60.0,2025.0,16.9,0.5720000000000001,0.191,0.23800000000000002,3.2,5.2,4.2,15.3,1.5,0.2,10.9,22.7,,4.2,-0.3,3.9,0.092,,2.4,-2.2,0.3,1.2,1994
83,Calbert Cheaney,SG,22.0,WSB,65.0,1604.0,14.0,0.508,0.033,0.231,6.3,7.6,6.9,12.9,2.0,0.4,12.3,23.4,,1.0,0.2,1.2,0.035,,-0.9,-1.5,-2.4,-0.2,1994
84,Pete Chilcutt,PF,25.0,TOT,76.0,1365.0,12.7,0.47200000000000003,0.033,0.145,10.1,19.8,14.9,9.7,1.9,1.8,13.4,17.2,,0.1,1.4,1.5,0.052000000000000005,,-2.2,-0.1,-2.3,-0.1,1994
87,Doug Christie,SG,23.0,LAL,65.0,1515.0,13.5,0.514,0.212,0.37,6.4,10.6,8.4,13.4,3.0,1.2,17.6,22.1,,0.1,1.2,1.4,0.044000000000000004,,-1.1,0.0,-1.1,0.3,1994
88,Ben Coleman,PF,32.0,DET,9.0,77.0,11.6,0.491,0.0,0.32,14.2,23.4,18.7,0.0,1.3,1.7,19.7,20.2,,-0.1,0.1,0.0,-0.004,,-3.9,-3.0,-6.9,-0.1,1994
89,Derrick Coleman,PF,26.0,NJN,77.0,2778.0,21.4,0.534,0.1,0.469,9.8,23.5,16.5,15.6,1.2,3.2,12.5,25.3,,5.5,4.4,9.9,0.171,,3.3,1.0,4.3,4.4,1994
90,Bimbo Coles,PG,25.0,MIA,76.0,1726.0,13.0,0.51,0.191,0.252,3.3,7.2,5.2,22.7,2.2,0.5,15.7,17.1,,1.8,1.4,3.2,0.08900000000000001,,-0.3,0.2,0.0,0.9,1994
91,Marty Conlon,C,26.0,TOT,30.0,579.0,15.0,0.619,0.012,0.321,10.4,16.6,13.5,8.7,0.8,0.9,14.9,16.3,,1.2,0.3,1.4,0.12,,0.2,-1.9,-1.7,0.0,1994
94,Lester Conner,PG,34.0,IND,11.0,169.0,12.0,0.381,0.079,0.158,7.1,9.2,8.2,25.5,4.3,0.4,18.1,12.9,,0.0,0.3,0.3,0.075,,-2.3,2.7,0.3,0.1,1994
95,Anthony Cook,PF,26.0,TOT,25.0,203.0,11.3,0.47700000000000004,0.019,0.46299999999999997,10.7,21.6,15.8,3.1,0.8,4.6,15.6,16.4,,-0.1,0.2,0.1,0.02,,-3.8,-1.1,-4.9,-0.1,1994
98,Duane Cooper,PG,24.0,PHO,23.0,136.0,7.9,0.504,0.171,0.366,1.7,5.7,3.7,27.9,1.1,0.0,29.6,20.8,,-0.2,0.0,-0.1,-0.038,,-4.3,-3.3,-7.6,-0.2,1994
99,Tyrone Corbin,SF,31.0,UTA,82.0,2149.0,11.8,0.506,0.049,0.245,8.2,12.7,10.4,8.3,2.4,0.8,12.4,15.3,,1.6,2.8,4.4,0.099,,-1.3,0.7,-0.5,0.8,1994
100,Chris Corchiani,PG,25.0,BOS,51.0,467.0,10.4,0.528,0.40399999999999997,0.40399999999999997,1.9,8.7,5.3,24.5,2.4,0.3,25.6,13.8,,0.1,0.3,0.4,0.038,,-2.4,0.0,-2.4,0.0,1994
101,Joe Courtney,PF,24.0,TOT,52.0,345.0,13.4,0.498,0.02,0.318,9.0,9.5,9.2,6.9,1.5,2.3,11.1,23.4,,0.2,0.2,0.4,0.054000000000000006,,-2.3,-2.0,-4.3,-0.2,1994
105,John Crotty,PG,24.0,UTA,45.0,313.0,17.5,0.575,0.242,0.364,4.1,7.3,5.7,37.0,2.5,0.2,19.0,20.0,,0.7,0.3,1.0,0.16,,2.2,0.3,2.5,0.4,1994
