,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
82,Robert Horry,PF,24,HOU,22,22,841,4.0,8.9,.445,1.9,4.7,.400,2.1,4.2,.495,2.5,3.3,.744,1.7,4.9,6.6,3.3,1.4,1.1,1.1,3.0,12.3
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Byron Houston,PF,25,SEA,1,0,1,0.0,36.0,.000,0.0,0.0,,0.0,36.0,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,Mark Jackson,PG,29,IND,17,17,554,3.8,8.4,.454,1.0,2.6,.400,2.8,5.8,.478,2.2,3.0,.739,1.8,4.0,5.8,7.9,1.0,0.0,2.7,2.2,10.9
86,Avery Johnson,PG,29,SAS,15,15,575,5.7,11.0,.517,0.0,0.1,.000,5.7,11.0,.520,2.3,3.6,.621,0.6,1.4,2.0,7.8,1.3,0.4,1.9,1.8,13.6
87,Ervin Johnson,C,27,SEA,4,2,54,2.7,9.3,.286,0.0,0.0,,2.7,9.3,.286,4.0,4.0,1.000,5.3,8.7,14.0,0.0,0.7,2.7,0.7,10.7,9.3
88,Kevin Johnson,PG,28,PHO,10,10,371,8.3,14.6,.573,0.5,1.0,.500,7.9,13.6,.579,6.9,8.2,.845,0.7,3.3,4.0,9.0,0.9,0.4,3.3,2.4,24.1
89,Larry Johnson,PF,25,CHH,4,4,172,6.5,13.6,.477,0.2,1.9,.111,6.3,11.7,.536,4.2,5.2,.800,2.1,2.7,4.8,2.3,0.8,0.4,1.3,1.5,17.4
90,Charles Jones,PF,37,HOU,19,0,237,0.8,2.0,.385,0.0,0.2,.000,0.8,1.8,.417,0.6,1.8,.333,1.8,4.9,6.7,0.0,0.6,1.5,0.8,8.4,2.1
91,Eddie Jones,SG,23,LAL,10,0,286,3.8,10.1,.375,1.5,3.4,.444,2.3,6.7,.340,1.9,2.6,.714,0.9,3.1,4.0,2.5,1.0,1.1,2.1,3.4,11.0
92,Michael Jordan*,SG,31,CHI,10,10,420,10.3,21.3,.484,0.9,2.6,.367,9.3,18.7,.500,5.5,6.8,.810,1.7,3.9,5.6,3.9,2.0,1.2,3.5,2.6,27.0
93,Adam Keefe,SF,24,UTA,4,0,69,3.7,6.3,.583,0.0,0.0,,3.7,6.3,.583,2.1,3.1,.667,4.2,4.7,8.9,1.0,2.6,0.5,0.0,2.1,9.4
94,Shawn Kemp,PF,25,SEA,4,4,160,7.4,12.8,.579,0.2,0.2,1.000,7.2,12.6,.571,7.2,8.8,.821,3.8,7.0,10.8,2.5,1.8,1.6,3.4,3.8,22.3
95,Steve Kerr,PG,29,CHI,10,0,193,3.5,7.5,.475,1.5,3.5,.421,2.1,3.9,.524,0.9,0.9,1.000,0.2,0.9,1.1,2.8,0.2,0.0,0.0,2.6,9.5
96,Jerome Kersey,SF,32,POR,3,0,63,9.1,16.0,.571,0.0,1.1,.000,9.1,14.9,.615,3.4,5.1,.667,1.1,3.4,4.6,1.7,1.7,0.6,0.0,6.3,21.7
97,Greg Kite,C,33,IND,8,0,26,1.4,4.2,.333,0.0,0.0,,1.4,4.2,.333,2.8,2.8,1.000,4.2,5.5,9.7,0.0,1.4,0.0,2.8,12.5,5.5
98,Joe Kleine,C,33,PHO,10,10,167,6.7,11.6,.574,0.2,0.4,.500,6.5,11.2,.577,0.0,0.0,,1.7,5.0,6.7,1.7,1.1,0.6,1.3,7.5,13.6
99,Toni Kukoč,SF,26,CHI,10,10,372,5.1,10.7,.477,1.4,3.1,.438,3.8,7.6,.494,1.7,2.5,.692,1.9,4.6,6.6,5.5,1.0,0.2,1.8,2.2,13.4
100,Andrew Lang,C,28,ATL,3,3,101,4.3,10.0,.429,0.0,0.0,,4.3,10.0,.429,2.5,3.2,.778,1.1,3.2,4.3,0.4,0.7,0.7,2.1,4.3,11.0
101,Cliff Levingston,PF,34,DEN,3,0,35,3.1,6.2,.500,0.0,0.0,,3.1,6.2,.500,1.0,2.1,.500,6.2,3.1,9.3,1.0,3.1,2.1,2.1,4.1,7.2
102,Grant Long,PF,28,ATL,3,3,110,4.6,9.2,.500,0.0,0.3,.000,4.6,8.8,.519,4.3,5.9,.722,4.3,6.9,11.1,1.3,1.3,0.3,2.6,3.6,13.4
103,Luc Longley,C,26,CHI,10,8,204,4.2,8.8,.480,0.0,0.0,,4.2,8.8,.480,1.4,1.8,.800,1.1,4.6,5.6,1.9,1.2,0.9,1.8,7.2,9.9
104,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,George Lynch,SF,24,LAL,10,0,136,4.0,8.5,.469,0.3,1.3,.200,3.7,7.1,.519,3.4,5.3,.650,3.4,4.5,7.9,1.9,2.1,0.0,2.4,5.8,11.6
106,Dan Majerle,SF,29,PHO,10,0,307,3.2,8.6,.370,1.9,5.2,.364,1.3,3.4,.379,1.4,2.0,.706,0.9,2.7,3.6,2.0,1.6,0.4,1.1,2.8,9.6
107,Karl Malone*,PF,31,UTA,5,5,216,8.0,17.2,.466,0.2,0.5,.333,7.8,16.7,.470,9.0,13.0,.692,2.5,8.5,11.0,3.2,1.2,0.3,2.3,3.0,25.2
