,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,current_year
135,Danny Ferry,SF,36.0,SAS,64.0,1.0,9.4,0.7,1.9,0.355,0.3,0.9,0.35,0.4,1.0,0.359,0.44,0.2,0.2,0.769,0.3,0.9,1.2,0.3,0.1,0.1,0.4,0.9,1.9,2003
136,Michael Finley,SF,29.0,DAL,69.0,69.0,38.3,7.3,17.3,0.425,1.7,4.7,0.37,5.6,12.6,0.445,0.475,2.9,3.3,0.861,1.6,4.3,5.8,3.0,1.1,0.3,1.7,1.5,19.3,2003
137,Derek Fisher,PG,28.0,LAL,82.0,82.0,34.5,4.1,9.5,0.43700000000000006,1.0,2.6,0.401,3.1,6.9,0.451,0.49200000000000005,1.2,1.5,0.8,0.5,2.4,2.9,3.6,1.1,0.2,1.1,2.4,10.5,2003
138,Marcus Fizer,PF,24.0,CHI,38.0,0.0,21.3,4.7,10.1,0.465,0.0,0.2,0.16699999999999998,4.7,9.9,0.469,0.466,2.3,3.5,0.657,2.1,3.6,5.7,1.3,0.4,0.4,1.5,2.3,11.7,2003
139,Alton Ford,PF,21.0,PHO,11.0,0.0,2.8,0.3,0.8,0.33299999999999996,0.0,0.0,,0.3,0.8,0.33299999999999996,0.33299999999999996,0.1,0.3,0.33299999999999996,0.0,0.5,0.5,0.1,0.0,0.0,0.2,0.6,0.6,2003
141,Joseph Forte,SG,21.0,SEA,17.0,0.0,5.1,0.6,2.1,0.28600000000000003,0.0,0.2,0.0,0.6,1.9,0.313,0.28600000000000003,0.2,0.4,0.667,0.2,0.4,0.6,0.6,0.2,0.0,0.6,0.4,1.4,2003
142,Danny Fortson,PF,26.0,GSW,17.0,0.0,13.1,1.2,3.2,0.37,0.0,0.1,0.0,1.2,3.1,0.377,0.37,1.1,1.7,0.655,1.6,2.6,4.3,0.7,0.5,0.0,0.9,2.5,3.5,2003
143,Greg Foster,C,34.0,TOR,29.0,9.0,18.6,1.6,4.2,0.385,0.0,0.1,0.25,1.6,4.1,0.39,0.389,0.9,1.1,0.813,1.0,2.5,3.5,0.4,0.0,0.3,1.0,2.8,4.2,2003
144,Jeff Foster,C,26.0,IND,77.0,2.0,10.4,0.8,2.3,0.36,0.0,0.0,0.0,0.8,2.3,0.364,0.36,0.4,0.8,0.54,1.5,2.1,3.6,0.7,0.4,0.3,0.4,1.3,2.1,2003
145,Tremaine Fowlkes,SF,26.0,LAC,37.0,10.0,15.5,1.5,3.5,0.43799999999999994,0.1,0.2,0.222,1.5,3.2,0.45399999999999996,0.445,1.4,1.6,0.847,1.1,1.7,2.8,0.6,0.7,0.1,0.5,1.7,4.4,2003
146,Rick Fox,SF,33.0,LAL,76.0,75.0,28.7,3.4,8.2,0.42200000000000004,1.4,3.7,0.375,2.1,4.5,0.46,0.506,0.7,0.9,0.754,0.8,3.4,4.3,3.3,0.9,0.2,1.6,2.8,9.0,2003
147,Adonal Foyle,C,27.0,GSW,82.0,0.0,21.8,2.3,4.2,0.536,0.0,0.0,0.0,2.3,4.2,0.5379999999999999,0.536,0.9,1.3,0.6729999999999999,2.1,3.8,6.0,0.5,0.5,2.5,0.9,2.6,5.4,2003
148,Steve Francis,PG,25.0,HOU,81.0,81.0,41.0,7.0,16.2,0.435,1.0,3.0,0.354,6.0,13.2,0.45299999999999996,0.46799999999999997,5.9,7.3,0.8,2.0,4.2,6.2,6.2,1.7,0.5,3.7,3.1,21.0,2003
149,Lawrence Funderburke,PF,32.0,SAC,27.0,0.0,8.5,1.2,2.7,0.444,0.0,0.0,,1.2,2.7,0.444,0.444,0.4,0.6,0.588,0.6,1.4,2.0,0.3,0.0,0.4,0.2,0.9,2.7,2003
150,Dan Gadzuric,C,24.0,MIL,49.0,30.0,15.5,1.4,3.0,0.483,0.0,0.0,0.0,1.4,2.9,0.486,0.483,0.6,1.1,0.518,1.3,2.7,4.0,0.2,0.4,1.1,0.6,2.6,3.4,2003
151,Kevin Garnett,PF,26.0,MIN,82.0,82.0,40.5,9.1,18.1,0.502,0.2,0.9,0.282,8.8,17.2,0.513,0.508,4.6,6.1,0.7509999999999999,3.0,10.5,13.4,6.0,1.4,1.6,2.8,2.4,23.0,2003
152,Pat Garrity,PF,26.0,ORL,81.0,53.0,31.9,3.9,9.2,0.419,2.0,5.0,0.396,1.9,4.2,0.44799999999999995,0.528,1.0,1.2,0.83,0.9,2.9,3.8,1.5,0.8,0.2,1.0,3.1,10.7,2003
153,Pau Gasol,PF,22.0,MEM,82.0,82.0,36.0,6.9,13.6,0.51,0.0,0.1,0.1,6.9,13.5,0.514,0.51,5.1,6.9,0.736,2.3,6.4,8.8,2.8,0.4,1.8,2.6,2.7,19.0,2003
154,Devean George,SF,25.0,LAL,71.0,7.0,22.7,2.5,6.5,0.39,0.7,1.9,0.371,1.8,4.6,0.39799999999999996,0.444,1.2,1.5,0.79,1.3,2.7,4.0,1.3,0.8,0.5,0.9,2.5,6.9,2003
155,Kendall Gill,SG,34.0,MIN,82.0,34.0,25.2,3.5,8.3,0.42200000000000004,0.2,0.7,0.322,3.3,7.5,0.43200000000000005,0.436,1.5,2.0,0.764,0.6,2.4,3.0,1.9,1.0,0.2,1.3,2.1,8.7,2003
156,Manu Ginóbili,SG,25.0,SAS,69.0,5.0,20.7,2.5,5.8,0.43799999999999994,0.7,2.1,0.345,1.8,3.6,0.494,0.503,1.8,2.5,0.737,0.7,1.7,2.3,2.0,1.4,0.2,1.4,2.5,7.6,2003
157,Gordan Giriček,SG-SF,25.0,TOT,76.0,62.0,28.3,4.6,10.6,0.436,1.1,3.3,0.341,3.5,7.3,0.478,0.489,2.0,2.4,0.82,0.5,2.7,3.1,1.8,0.7,0.1,1.9,2.1,12.3,2003
160,Dion Glover,SG,24.0,ATL,76.0,42.0,24.9,3.6,8.5,0.42700000000000005,0.7,2.1,0.354,2.9,6.4,0.451,0.47100000000000003,1.7,2.1,0.784,0.8,2.9,3.7,1.9,0.9,0.2,1.4,1.9,9.7,2003
161,Anthony Goldwire,PG,31.0,TOT,15.0,0.0,5.7,0.6,1.7,0.36,0.2,0.6,0.33299999999999996,0.4,1.1,0.375,0.42,0.3,0.5,0.5710000000000001,0.0,0.4,0.4,0.3,0.2,0.0,0.4,0.4,1.7,2003
164,Drew Gooden,SF-PF,21.0,TOT,70.0,47.0,26.8,5.1,11.1,0.457,0.2,0.7,0.292,4.9,10.4,0.46799999999999997,0.466,2.2,3.0,0.7120000000000001,2.3,4.2,6.5,1.2,0.8,0.5,2.1,2.5,12.5,2003
168,Brian Grant,C,30.0,MIA,82.0,82.0,32.2,4.2,8.2,0.509,0.0,0.0,,4.2,8.2,0.509,0.509,1.9,2.5,0.7709999999999999,2.9,7.3,10.2,1.3,0.8,0.6,1.6,3.7,10.3,2003
169,Horace Grant,PF,37.0,ORL,5.0,1.0,17.0,2.6,5.0,0.52,0.0,0.0,,2.6,5.0,0.52,0.52,0.0,0.0,,0.4,1.2,1.6,1.4,0.6,0.0,0.2,1.0,5.2,2003
170,Adrian Griffin,SG,28.0,DAL,74.0,48.0,18.6,2.0,4.6,0.433,0.1,0.3,0.25,1.9,4.2,0.447,0.442,0.4,0.4,0.8440000000000001,1.2,2.4,3.6,1.4,1.0,0.1,0.6,2.1,4.4,2003
171,Eddie Griffin,PF,20.0,HOU,77.0,66.0,24.5,3.5,8.8,0.4,0.8,2.5,0.33299999999999996,2.7,6.3,0.426,0.447,0.8,1.2,0.617,1.8,4.2,6.0,1.1,0.7,1.4,1.0,1.8,8.6,2003
172,Tom Gugliotta,PF,33.0,PHO,27.0,11.0,16.6,2.2,4.9,0.455,0.0,0.0,0.0,2.2,4.9,0.45799999999999996,0.455,0.3,0.3,1.0,0.9,2.8,3.7,1.1,0.5,0.2,1.1,1.3,4.8,2003
173,A.J. Guyton,PG,24.0,GSW,2.0,0.0,4.5,0.0,2.0,0.0,0.0,0.5,0.0,0.0,1.5,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.5,0.0,0.5,0.0,0.0,2003
