,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
121,Kenyon Martin,PF,32,DEN,6,6,34.2,4.0,8.3,.480,0.0,0.2,.000,4.0,8.2,.490,.480,2.0,3.2,.632,2.3,6.0,8.3,1.3,1.5,1.2,1.8,4.5,10.0
122,Roger Mason,SG,29,SAS,6,0,10.2,0.2,2.0,.083,0.2,1.2,.143,0.0,0.8,.000,.125,0.0,0.0,,0.0,0.7,0.7,0.3,0.2,0.0,0.3,2.0,0.5
123,Wesley Matthews,SG,23,UTA,10,10,37.1,3.9,10.1,.386,1.5,4.2,.357,2.4,5.9,.407,.460,3.9,4.8,.813,1.0,3.4,4.4,1.7,1.8,0.5,1.5,3.4,13.2
124,Eric Maynor,PG,22,OKC,6,0,12.7,1.0,3.3,.300,0.2,1.0,.167,0.8,2.3,.357,.325,1.5,1.8,.818,0.2,1.3,1.5,1.5,0.2,0.2,0.8,0.8,3.7
125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Luc Mbah a Moute,PF,23,MIL,7,7,25.4,3.7,7.1,.520,0.0,0.3,.000,3.7,6.9,.542,.520,1.7,2.9,.600,2.0,3.6,5.6,0.7,0.3,0.0,1.0,2.1,9.1
127,Antonio McDyess,PF,35,SAS,10,10,24.7,3.3,6.2,.532,0.0,0.0,,3.3,6.2,.532,.532,0.2,0.2,1.000,1.8,5.0,6.8,1.2,0.2,0.7,0.9,2.7,6.8
128,C.J. Miles,SF,22,UTA,10,10,33.7,4.7,10.6,.443,1.5,4.6,.326,3.2,6.0,.533,.514,3.5,3.9,.897,0.5,2.0,2.5,2.8,0.6,0.6,1.9,4.8,14.4
129,Andre Miller,PG,33,POR,6,6,35.0,5.0,12.3,.405,0.5,1.2,.429,4.5,11.2,.403,.426,5.2,6.7,.775,0.8,2.3,3.2,6.0,1.2,0.2,3.2,2.0,15.7
130,Brad Miller,C,33,CHI,5,0,18.6,2.0,5.4,.370,0.0,0.8,.000,2.0,4.6,.435,.370,1.4,1.4,1.000,0.6,3.0,3.6,0.8,0.0,0.2,1.4,3.2,5.4
131,Patty Mills,PG,21,POR,3,0,4.0,0.7,1.3,.500,0.3,0.3,1.000,0.3,1.0,.333,.625,0.3,0.3,1.000,0.0,0.0,0.0,1.0,0.0,0.0,0.3,0.3,2.0
132,Paul Millsap,PF,24,UTA,10,0,32.3,7.0,12.2,.574,0.0,0.2,.000,7.0,12.0,.583,.574,4.0,5.8,.690,3.4,5.4,8.8,2.2,1.1,1.4,1.3,3.6,18.0
133,Nazr Mohammed,C,32,CHA,4,0,12.0,2.8,4.8,.579,0.0,0.0,,2.8,4.8,.579,.579,0.5,0.8,.667,1.3,0.8,2.0,0.5,0.3,0.5,0.3,3.3,6.0
134,Jamario Moon,SF,29,CLE,11,0,10.3,1.3,2.2,.583,0.7,1.5,.500,0.5,0.7,.750,.750,0.2,0.3,.667,0.2,1.3,1.5,0.5,0.4,0.5,0.0,0.7,3.5
135,Randolph Morris,PF,24,ATL,3,0,3.3,0.3,0.7,.500,0.0,0.0,,0.3,0.7,.500,.500,0.3,0.3,1.000,0.3,0.3,0.7,0.0,0.0,0.0,0.0,1.0,1.0
136,Adam Morrison,SF,25,LAL,2,0,6.5,2.0,4.5,.444,0.0,1.0,.000,2.0,3.5,.571,.444,0.0,0.0,,1.0,1.5,2.5,0.5,0.0,0.0,0.0,1.0,4.0
137,Byron Mullens,PF,20,OKC,1,0,4.0,0.0,2.0,.000,0.0,0.0,,0.0,2.0,.000,.000,1.0,2.0,.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
138,Ronald Murray,SG,30,CHI,5,0,19.4,3.0,7.4,.405,0.8,2.4,.333,2.2,5.0,.440,.459,1.6,1.6,1.000,0.8,1.8,2.6,2.0,0.4,0.0,0.2,0.6,8.4
139,Eduardo Nájera,PF,33,DAL,5,0,7.2,0.4,1.6,.250,0.0,1.0,.000,0.4,0.6,.667,.250,0.0,0.0,,1.0,0.8,1.8,0.0,0.4,0.0,0.2,1.6,0.8
140,Steve Nash*,PG,35,PHO,16,16,33.7,6.2,11.9,.518,1.2,3.1,.380,5.0,8.8,.567,.568,4.2,4.7,.893,0.4,2.9,3.3,10.1,0.3,0.1,3.8,1.3,17.8
141,Jameer Nelson,PG,27,ORL,14,14,34.2,6.5,13.6,.479,2.4,6.0,.393,4.1,7.6,.547,.566,3.6,4.4,.823,0.6,2.9,3.6,4.8,1.0,0.0,2.5,2.7,19.0
142,Joakim Noah,C,24,CHI,5,5,37.6,5.6,10.6,.528,0.0,0.0,,5.6,10.6,.528,.528,3.6,3.8,.947,4.0,9.0,13.0,2.6,1.8,1.4,3.0,4.0,14.8
143,Dirk Nowitzki,PF,31,DAL,6,6,38.8,9.7,17.7,.547,0.7,1.2,.571,9.0,16.5,.545,.566,6.7,7.0,.952,1.2,7.0,8.2,3.0,0.8,0.7,1.7,2.5,26.7
144,Jermaine O'Neal,C,31,MIA,5,5,23.4,1.8,8.8,.205,0.0,0.0,,1.8,8.8,.205,.205,0.6,1.4,.429,2.0,3.6,5.6,1.0,0.8,2.0,1.4,2.6,4.2
145,Shaquille O'Neal*,C,37,CLE,11,11,22.1,4.4,8.5,.516,0.0,0.0,,4.4,8.5,.516,.516,2.8,4.3,.660,1.9,3.6,5.5,1.4,0.2,1.2,2.2,3.7,11.5
146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Lamar Odom,PF,30,LAL,23,0,29.0,4.0,8.4,.469,0.4,1.8,.244,3.5,6.7,.529,.495,1.3,2.2,.600,2.6,6.0,8.6,2.0,0.7,0.9,1.2,3.7,9.7
148,Mehmet Okur,C,30,UTA,1,1,11.0,2.0,2.0,1.000,1.0,1.0,1.000,1.0,1.0,1.000,1.250,2.0,2.0,1.000,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,7.0
149,Kevin Ollie,PG,37,OKC,1,0,5.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,Zaza Pachulia,C,25,ATL,11,0,14.6,1.6,3.2,.514,0.0,0.0,,1.6,3.2,.514,.514,1.4,2.2,.625,1.7,1.7,3.5,0.3,0.2,0.6,0.8,3.1,4.6
151,Jannero Pargo,PG,30,CHI,2,0,4.0,0.5,2.5,.200,0.5,1.0,.500,0.0,1.5,.000,.300,0.0,0.0,,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.5
152,Anthony Parker,SG,34,CLE,11,11,30.1,2.7,5.8,.469,1.8,4.0,.455,0.9,1.8,.500,.625,1.0,1.4,.733,0.1,2.3,2.4,1.3,0.8,0.3,1.0,1.5,8.3
153,Tony Parker,PG,27,SAS,10,2,33.5,7.3,15.4,.474,0.2,0.3,.667,7.1,15.1,.470,.481,2.5,4.2,.595,0.9,2.9,3.8,5.4,0.6,0.0,2.2,2.0,17.3
154,Kendrick Perkins,C,25,BOS,23,23,25.0,2.1,4.2,.510,0.0,0.0,.000,2.1,4.1,.516,.510,1.4,2.4,.600,1.8,4.4,6.2,1.0,0.4,1.4,1.9,3.4,5.7
155,Johan Petro,C,24,DEN,6,1,7.5,1.0,1.8,.545,0.0,0.0,,1.0,1.8,.545,.545,0.2,0.3,.500,0.3,1.5,1.8,0.2,0.2,0.5,0.5,2.2,2.2
156,Paul Pierce,SF,32,BOS,24,24,38.8,6.1,14.0,.438,1.7,4.3,.392,4.5,9.8,.457,.497,4.9,5.9,.824,0.8,5.1,6.0,3.4,1.0,0.6,2.7,3.3,18.8
157,Mickaël Piétrus,SF,27,ORL,14,0,20.1,2.5,5.7,.438,2.0,4.4,.459,0.5,1.4,.368,.613,1.4,2.1,.667,0.1,1.3,1.4,0.7,0.6,0.4,0.4,1.9,8.4
158,Leon Powe,SF,26,CLE,3,0,3.0,0.3,1.3,.250,0.0,0.0,,0.3,1.3,.250,.250,1.0,1.3,.750,0.3,0.3,0.7,0.0,0.0,0.0,0.3,1.0,1.7
159,Josh Powell,PF,27,LAL,13,0,3.1,0.2,0.6,.375,0.0,0.1,.000,0.2,0.5,.429,.375,0.2,0.3,.750,0.2,0.3,0.5,0.1,0.0,0.0,0.1,0.7,0.7
160,Ronnie Price,PG,26,UTA,10,0,9.0,0.7,2.4,.292,0.2,0.7,.286,0.5,1.7,.294,.333,0.4,0.8,.500,0.5,0.5,1.0,1.4,0.4,0.1,0.2,2.0,2.0
161,Theo Ratliff,C,36,CHA,4,4,11.8,0.8,2.0,.375,0.0,0.0,,0.8,2.0,.375,.375,0.3,0.5,.500,0.0,0.8,0.8,0.3,0.5,0.0,0.5,3.8,1.8
162,J.J. Redick,SG,25,ORL,14,0,19.2,2.1,5.1,.423,1.1,2.5,.429,1.1,2.6,.417,.528,2.1,2.5,.857,0.3,1.4,1.7,1.4,0.7,0.0,1.4,1.6,7.5
163,Chris Richard,PF,25,CHI,2,0,2.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.5,1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0
164,Jason Richardson,SG,29,PHO,16,16,33.3,7.0,13.9,.502,3.0,6.3,.475,4.0,7.6,.525,.610,2.8,3.6,.759,1.1,4.3,5.4,1.1,1.1,0.3,0.6,2.2,19.8
165,Quentin Richardson,SF,29,MIA,5,5,29.8,3.6,9.0,.400,1.8,4.4,.409,1.8,4.6,.391,.500,0.8,1.0,.800,0.2,3.6,3.8,1.6,1.6,0.2,1.0,3.2,9.8
166,Luke Ridnour,PG,28,MIL,7,0,17.3,3.0,6.4,.467,0.7,2.0,.357,2.3,4.4,.516,.522,1.4,1.7,.833,0.6,1.3,1.9,1.9,0.6,0.1,1.4,1.9,8.1
167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Nate Robinson,PG,25,BOS,17,0,7.5,1.4,3.8,.375,0.6,1.9,.333,0.8,1.8,.419,.461,0.7,0.9,.800,0.2,0.6,0.8,1.1,0.4,0.1,0.4,0.9,4.2
169,Rajon Rondo,PG,23,BOS,24,24,40.6,6.3,13.6,.463,0.4,1.0,.375,5.9,12.6,.470,.477,2.8,4.8,.596,1.6,4.0,5.6,9.3,1.9,0.1,3.0,2.4,15.8
170,Derrick Rose,PG,21,CHI,5,5,42.4,11.4,25.0,.456,0.4,1.2,.333,11.0,23.8,.462,.464,3.6,4.4,.818,0.8,2.6,3.4,7.2,0.8,0.0,2.6,1.6,26.8
171,Brandon Roy,SG,25,POR,3,1,27.7,3.3,11.0,.303,0.7,4.0,.167,2.7,7.0,.381,.333,2.3,3.0,.778,0.7,1.7,2.3,1.7,0.0,0.0,1.0,2.3,9.7
172,John Salmons,SG,30,MIL,7,7,40.7,6.3,15.6,.404,0.6,3.3,.174,5.7,12.3,.465,.422,3.9,4.0,.964,1.0,2.7,3.7,4.0,1.4,0.6,1.7,2.7,17.0
173,Brian Scalabrine,PF,31,BOS,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,Thabo Sefolosha,SG,25,OKC,6,6,21.2,1.3,4.5,.296,0.5,2.2,.231,0.8,2.3,.357,.352,1.3,1.5,.889,0.5,2.5,3.0,1.2,0.8,1.0,0.3,2.5,4.5
175,J.R. Smith,SG,24,DEN,6,0,26.5,3.5,9.5,.368,1.8,5.2,.355,1.7,4.3,.385,.465,2.3,2.7,.875,0.8,3.0,3.8,1.7,0.7,0.3,1.0,2.8,11.2
176,Joe Smith,PF,34,ATL,5,0,4.8,0.0,0.6,.000,0.0,0.0,,0.0,0.6,.000,.000,0.0,0.0,,0.2,0.2,0.4,0.0,0.0,0.2,0.2,0.2,0.0
177,Josh Smith,PF,24,ATL,11,11,35.6,5.6,11.7,.481,0.2,0.5,.333,5.5,11.2,.488,.488,2.6,4.0,.659,3.4,5.6,9.0,2.6,1.2,1.7,1.5,2.7,14.1
178,Jerry Stackhouse,SG,35,MIL,7,0,20.6,2.0,6.1,.326,0.7,2.1,.333,1.3,4.0,.321,.384,2.6,2.9,.900,0.1,1.6,1.7,1.1,0.7,0.1,0.7,0.6,7.3
179,DeShawn Stevenson,SG,28,DAL,2,0,3.0,0.0,1.5,.000,0.0,1.5,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
180,Amar'e Stoudemire,PF,27,PHO,16,16,36.5,7.8,14.9,.519,0.0,0.3,.000,7.8,14.7,.528,.519,6.7,8.9,.754,2.9,3.8,6.6,1.1,0.7,1.5,2.5,3.4,22.2
181,Jeff Teague,PG,21,ATL,9,0,6.6,0.8,2.3,.333,0.2,0.6,.400,0.6,1.8,.313,.381,0.0,0.0,,0.0,0.2,0.2,0.4,0.3,0.1,0.4,0.3,1.8
182,Garrett Temple,SG,23,SAS,6,0,2.5,0.2,0.5,.333,0.2,0.5,.333,0.0,0.0,,.500,0.2,0.2,1.000,0.0,0.3,0.3,0.3,0.2,0.0,0.3,0.2,0.7
183,Jason Terry,SG,32,DAL,6,0,29.0,4.3,11.5,.377,2.0,5.0,.400,2.3,6.5,.359,.464,2.0,2.7,.750,0.3,2.2,2.5,2.0,0.7,0.2,1.0,2.7,12.7
184,Etan Thomas,C,31,OKC,2,0,8.5,2.5,3.0,.833,0.0,0.0,,2.5,3.0,.833,.833,1.0,1.0,1.000,0.5,1.5,2.0,0.0,0.0,0.0,0.5,0.5,6.0
