,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,current_year
298,Antawn Jamison,PF,33.0,TOT,66.0,64.0,2406.0,7.2,15.5,0.461,1.3,3.7,0.344,5.9,11.8,0.498,2.9,4.5,0.647,2.0,6.3,8.3,1.3,1.1,0.3,1.4,2.7,18.5,2010
301,Nathan Jawai,C,23.0,MIN,39.0,2.0,412.0,4.3,9.7,0.441,0.0,0.1,0.0,4.3,9.6,0.445,2.3,3.3,0.684,4.3,4.8,9.1,2.1,0.9,0.8,2.4,5.1,10.8,2010
302,Othyus Jeffers,SG,24.0,UTA,14.0,0.0,73.0,5.9,14.3,0.414,0.0,0.0,,5.9,14.3,0.414,6.4,9.4,0.684,3.9,5.4,9.4,0.5,2.0,0.0,3.0,4.9,18.2,2010
303,Al Jefferson,C,25.0,MIN,76.0,76.0,2463.0,8.2,16.4,0.498,0.0,0.1,0.0,8.2,16.4,0.5,2.6,3.9,0.68,2.6,7.6,10.3,2.0,0.9,1.4,2.0,3.0,19.0,2010
304,Richard Jefferson,SF,29.0,SAS,81.0,70.0,2520.0,5.2,11.1,0.467,0.8,2.7,0.316,4.3,8.4,0.515,3.0,4.1,0.735,0.8,4.3,5.1,2.3,0.6,0.6,1.5,2.5,14.2,2010
305,Jared Jeffries,PF-SF,28.0,TOT,70.0,37.0,1794.0,2.8,6.3,0.439,0.4,1.4,0.29600000000000004,2.3,4.9,0.48100000000000004,1.5,2.4,0.625,2.6,3.2,5.8,2.0,1.2,1.4,1.5,4.1,7.5,2010
308,Brandon Jennings,PG,20.0,MIL,82.0,82.0,2671.0,6.1,16.4,0.371,2.0,5.2,0.374,4.1,11.2,0.37,3.0,3.7,0.8170000000000001,0.7,3.1,3.8,6.3,1.4,0.2,2.7,2.6,17.1,2010
309,Jonas Jerebko,PF,22.0,DET,80.0,73.0,2232.0,4.7,9.7,0.48100000000000004,0.6,1.9,0.313,4.1,7.9,0.52,2.0,2.8,0.71,3.1,4.6,7.7,0.9,1.3,0.5,1.3,3.7,12.0,2010
310,Yi Jianlian,PF,22.0,NJN,52.0,51.0,1655.0,4.9,12.2,0.40299999999999997,0.3,0.9,0.366,4.6,11.4,0.406,3.3,4.2,0.7979999999999999,2.5,5.6,8.1,1.0,0.8,1.1,1.7,3.7,13.6,2010
311,Amir Johnson,PF,22.0,TOR,82.0,5.0,1453.0,5.2,8.3,0.623,0.0,0.1,0.0,5.2,8.2,0.63,2.4,3.7,0.638,3.8,6.0,9.8,1.2,1.1,1.6,1.6,6.3,12.7,2010
312,Anthony Johnson,PG,35.0,ORL,31.0,0.0,406.0,4.3,9.8,0.441,1.2,3.5,0.33299999999999996,3.2,6.4,0.5,1.7,1.8,0.95,0.7,3.5,4.3,5.6,1.0,0.1,2.3,2.8,11.5,2010
313,James Johnson,PF,22.0,CHI,65.0,11.0,757.0,4.5,10.0,0.452,0.7,2.2,0.326,3.8,7.8,0.488,2.4,3.3,0.7290000000000001,1.6,4.5,6.1,2.3,1.0,2.0,2.9,6.0,12.2,2010
314,Joe Johnson,SG,28.0,ATL,76.0,76.0,2886.0,7.9,17.3,0.45799999999999996,1.6,4.4,0.369,6.3,12.9,0.488,2.7,3.4,0.818,0.9,3.5,4.4,4.6,1.0,0.1,1.8,1.8,20.2,2010
315,Dahntay Jones,SF,29.0,IND,76.0,26.0,1892.0,5.5,11.9,0.461,0.1,0.6,0.125,5.4,11.2,0.479,3.8,4.9,0.77,0.9,3.4,4.4,2.9,0.8,0.7,2.5,4.5,14.8,2010
316,Dwayne Jones,PF,26.0,PHO,2.0,0.0,7.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,10.3,10.3,0.0,0.0,0.0,0.0,5.1,0.0,2010
317,James Jones,SF,29.0,MIA,36.0,6.0,503.0,3.1,8.5,0.361,2.6,6.4,0.41100000000000003,0.4,2.1,0.207,1.6,2.0,0.821,0.3,2.9,3.2,1.2,0.8,0.3,0.8,3.2,10.4,2010
318,Solomon Jones,C,25.0,IND,52.0,2.0,675.0,4.2,9.4,0.44299999999999995,0.0,0.2,0.0,4.2,9.2,0.451,2.7,3.8,0.718,2.7,5.0,7.7,1.7,0.7,2.0,2.1,6.7,11.0,2010
320,DeAndre Jordan,C,21.0,LAC,70.0,12.0,1137.0,4.6,7.5,0.605,0.0,0.1,0.0,4.6,7.5,0.61,1.5,4.1,0.375,3.9,7.3,11.1,0.7,0.5,2.0,2.4,4.8,10.6,2010
321,Chris Kaman,C,27.0,LAC,76.0,76.0,2608.0,8.1,16.6,0.49,0.0,0.1,0.0,8.1,16.5,0.49200000000000005,3.2,4.2,0.7490000000000001,2.5,7.2,9.7,1.7,0.5,1.3,3.1,2.9,19.4,2010
322,Jason Kapono,SF,28.0,PHI,57.0,12.0,976.0,4.6,11.1,0.419,2.3,6.3,0.368,2.3,4.8,0.485,0.3,0.6,0.6,0.5,1.9,2.4,1.4,0.8,0.2,1.3,3.0,12.0,2010
323,Coby Karl,SF-SG,26.0,TOT,7.0,1.0,113.0,3.5,10.2,0.344,0.6,3.5,0.182,2.9,6.7,0.429,1.3,1.9,0.667,1.3,4.5,5.7,4.8,1.0,0.3,3.2,4.5,8.9,2010
326,Jason Kidd,PG,36.0,DAL,80.0,80.0,2881.0,3.5,8.4,0.423,2.2,5.2,0.425,1.3,3.2,0.42,1.0,1.2,0.8079999999999999,0.6,5.0,5.6,9.0,1.8,0.4,2.4,1.8,10.3,2010
327,Andrei Kirilenko,SF,28.0,UTA,58.0,35.0,1681.0,5.2,10.3,0.506,0.6,1.9,0.292,4.7,8.4,0.555,3.7,5.0,0.7440000000000001,1.6,4.0,5.7,3.4,1.8,1.5,1.7,2.2,14.7,2010
328,Kyle Korver,SG,28.0,UTA,52.0,0.0,952.0,5.2,10.6,0.493,2.2,4.2,0.536,3.0,6.4,0.465,1.5,1.9,0.7959999999999999,0.4,3.8,4.2,3.4,1.0,0.5,1.6,2.9,14.1,2010
329,Kosta Koufos,C,20.0,UTA,36.0,0.0,172.0,4.6,9.8,0.46799999999999997,0.0,0.0,,4.6,9.8,0.46799999999999997,1.9,3.1,0.6,3.3,6.1,9.4,1.3,0.4,0.8,3.1,5.4,11.1,2010
330,Nenad Krstić,C,26.0,OKC,76.0,76.0,1741.0,5.8,11.6,0.502,0.0,0.1,0.2,5.8,11.5,0.505,1.6,2.2,0.7170000000000001,2.8,5.1,7.9,1.1,0.7,0.9,1.2,3.7,13.2,2010
331,Oliver Lafayette,SG,25.0,BOS,1.0,0.0,22.0,4.9,9.8,0.5,1.6,3.3,0.5,3.3,6.5,0.5,0.0,0.0,,1.6,4.9,6.5,3.3,0.0,0.0,1.6,0.0,11.5,2010
332,Carl Landry,PF,26.0,TOT,80.0,29.0,2469.0,7.3,13.6,0.536,0.0,0.0,0.33299999999999996,7.3,13.5,0.537,5.0,6.2,0.8059999999999999,2.7,4.1,6.8,1.0,0.8,0.9,2.0,3.4,19.6,2010
335,Marcus Landry,SF,24.0,TOT,18.0,0.0,111.0,5.2,13.9,0.37200000000000005,2.9,9.1,0.321,2.3,4.9,0.467,1.0,1.6,0.6,1.6,4.5,6.2,0.0,0.3,0.6,1.9,4.5,14.3,2010
338,Acie Law,PG,25.0,TOT,26.0,1.0,234.0,5.4,11.5,0.467,0.8,2.5,0.313,4.6,9.1,0.508,5.8,7.5,0.7759999999999999,0.5,2.2,2.6,4.0,1.7,0.2,2.6,2.5,17.4,2010
342,Ty Lawson,PG,22.0,DEN,65.0,8.0,1318.0,5.5,10.7,0.515,0.9,2.3,0.41,4.6,8.4,0.544,2.9,3.8,0.757,1.1,2.2,3.4,5.5,1.3,0.1,2.2,2.4,14.8,2010
343,Courtney Lee,SG,24.0,NJN,71.0,66.0,2375.0,5.1,11.7,0.436,1.2,3.4,0.33799999999999997,4.0,8.3,0.47600000000000003,2.0,2.3,0.8690000000000001,0.9,2.9,3.8,1.8,1.4,0.3,1.2,2.0,13.4,2010
344,David Lee,C,26.0,NYK,81.0,81.0,3019.0,8.2,15.0,0.545,0.0,0.1,0.0,8.2,14.9,0.5489999999999999,3.2,3.9,0.812,2.7,8.6,11.3,3.5,1.0,0.5,2.3,3.1,19.6,2010
345,Rashard Lewis,PF,30.0,ORL,72.0,72.0,2369.0,5.3,12.2,0.435,2.6,6.4,0.397,2.8,5.8,0.47600000000000003,2.2,2.7,0.8059999999999999,0.9,3.9,4.8,1.6,1.2,0.4,1.6,2.7,15.4,2010
346,Shaun Livingston,PG,24.0,TOT,36.0,18.0,796.0,4.7,9.1,0.517,0.0,0.3,0.0,4.7,8.8,0.5329999999999999,1.9,2.2,0.875,0.7,2.8,3.5,5.9,0.8,0.5,2.6,2.8,11.3,2010
349,Brook Lopez,C,21.0,NJN,82.0,82.0,3027.0,6.7,13.4,0.499,0.0,0.0,0.0,6.7,13.4,0.5,4.9,6.1,0.8170000000000001,3.2,5.2,8.4,2.2,0.7,1.7,2.4,3.0,18.3,2010
350,Robin Lopez,C,21.0,PHO,51.0,31.0,986.0,6.2,10.6,0.588,0.0,0.0,,6.2,10.6,0.588,3.2,4.6,0.7040000000000001,3.8,5.3,9.1,0.3,0.4,1.9,1.5,4.3,15.7,2010
352,Kevin Love,PF,21.0,MIN,60.0,22.0,1714.0,6.1,13.6,0.45,0.7,2.2,0.33,5.4,11.3,0.474,4.7,5.8,0.815,4.8,9.1,13.8,2.9,0.9,0.5,2.5,2.9,17.7,2010
353,Kyle Lowry,PG,23.0,HOU,68.0,0.0,1651.0,4.0,10.1,0.397,0.8,3.0,0.272,3.2,7.2,0.44799999999999995,4.7,5.7,0.8270000000000001,2.0,3.4,5.4,6.7,1.3,0.2,2.5,3.8,13.5,2010
354,Corey Maggette,PF,30.0,GSW,70.0,49.0,2081.0,7.9,15.3,0.516,0.2,0.9,0.26,7.7,14.5,0.531,8.0,9.5,0.835,1.6,4.9,6.5,3.0,0.9,0.1,2.9,4.0,24.0,2010
355,Jamaal Magloire,C,31.0,MIA,36.0,0.0,359.0,2.8,5.6,0.5,0.0,0.0,,2.8,5.6,0.5,2.1,5.9,0.35600000000000004,4.1,8.0,12.1,0.1,0.9,1.1,1.7,5.9,7.7,2010
356,Ian Mahinmi,C,23.0,SAS,26.0,0.0,165.0,7.6,12.0,0.636,0.0,0.0,,7.6,12.0,0.636,6.8,10.3,0.66,2.8,8.5,11.3,0.4,0.7,1.7,3.3,7.0,22.0,2010
357,Shawn Marion,SF,31.0,DAL,75.0,75.0,2385.0,6.0,11.7,0.508,0.0,0.3,0.158,5.9,11.5,0.516,1.6,2.1,0.755,2.4,4.8,7.2,1.6,1.0,0.9,1.5,2.1,13.6,2010
358,Sean Marks,C,34.0,NOH,14.0,0.0,75.0,1.9,3.8,0.5,0.0,0.0,,1.9,3.8,0.5,1.0,2.4,0.4,6.7,4.3,11.0,1.0,0.0,1.4,1.0,8.2,4.8,2010
359,Cartier Martin,SF,25.0,TOT,18.0,2.0,390.0,4.6,12.6,0.368,1.6,4.5,0.34700000000000003,3.0,8.0,0.379,2.2,2.8,0.8,2.3,4.0,6.3,1.5,1.0,0.1,1.8,4.4,13.0,2010
362,Kenyon Martin,PF,32.0,DEN,58.0,58.0,1986.0,5.1,11.2,0.456,0.1,0.5,0.276,5.0,10.7,0.465,1.7,3.0,0.557,2.6,7.3,9.9,2.0,1.3,1.1,1.6,3.4,12.1,2010
363,Kevin Martin,SG,26.0,TOT,46.0,43.0,1633.0,6.4,15.3,0.41700000000000004,1.5,4.6,0.33299999999999996,4.8,10.6,0.45299999999999996,6.6,7.5,0.8759999999999999,0.6,3.0,3.6,2.4,1.0,0.1,2.0,2.1,20.9,2010
